"id","name","abbr","code","csrc_company_type","csrc_code","csrc_desc","province","city","phone","website","email","csrc_parent_code","loc"
"M000683","熵基科技股份有限公司","熵基科技",,0,"","计算机、通信和其他电子设备制造业","广东","",,,,"","广东"
"M000637","安徽五粮泰生物工程股份有限公司","五粮泰",,0,"","农副食品加工业","安徽","",,,,"","安徽"
"M000635","浙江艾能聚光伏科技股份有限公司","艾能聚",,0,"","电气机械和器材制造业","浙江","",,,,"","浙江"
"M000695","广东科翔电子科技股份有限公司","科翔电子",,0,"","计算机、通信和其他电子设备制造业","广东","",,,,"","广东"
"M000684","三友联众集团股份有限公司","三友联众",,0,"","电气机械和器材制造业","广东","",,,,"","广东"
"M000482","广东金源照明科技股份有限公司","金源照明",,0,"","电气机械和器材制造业","广东","",,,,"","广东"
"M000626","上海天好信息技术股份有限公司","天好信息",,0,"","软件和信息技术服务业","上海","",,,,"","上海"
"M000287","苏州亚德林股份有限公司","亚德林",,0,"","金属制品业","江苏","",,,,"","江苏"
"M000621","武汉元丰汽车电控系统股份有限公司","元丰电控",,0,"","计算机、通信和其他电子设备制造业","湖北","",,,,"","湖北"
"M000629","龙江元盛和牛产业股份有限公司","龙江和牛",,0,"","农副食品加工业","黑龙江","",,,,"","黑龙江"
"M000184","广东汇成真空科技股份有限公司","汇成真空",,0,"","专用设备制造业","广东","",,,,"","广东"
"M000653","浙江泛源科技股份有限公司","泛源科技",,0,"","汽车制造业","浙江","",,,,"","浙江"
"M000628","重庆国际复合材料股份有限公司","国际复材",,0,"","非金属矿物制品业","重庆","",,,,"","重庆"
"M000656","佛山市蓝箭电子股份有限公司","蓝箭电子",,0,"","计算机、通信和其他电子设备制造业","广东","",,,,"","广东"
"M000046","东莞六淳智能科技股份有限公司","六淳科技",,0,"","计算机、通信和其他电子设备制造业","广东","",,,,"","广东"
"M000664","浙江夏厦精密制造股份有限公司","夏厦精密",,0,"","通用设备制造业","浙江","",,,,"","浙江"
"M000011","珠海市赛纬电子材料股份有限公司","珠海赛纬",,0,"","化学原料和化学制品制造业","广东","",,,,"","广东"
"M000228","北京易诚互动网络技术股份有限公司","易诚互动",,0,"","软件和信息技术服务业","北京","",,,,"","北京"
"M000612","杭州腾励传动科技股份有限公司","腾励传动",,0,"","汽车制造业","浙江","",,,,"","浙江"
"M000001","安徽古麒绒材股份有限公司","古麒绒材",,0,"","皮革、毛皮、羽毛及其制品和制鞋业","安徽","",,,,"","安徽"
"M000663","浙江开创电气股份有限公司","开创电气",,0,"","通用设备制造业","浙江","",,,,"","浙江"
"M000528","广东飞南资源利用股份有限公司","飞南资源",,0,"","废弃资源综合利用业","广东","",,,,"","广东"
"M000686","惠柏新材料科技（上海）股份有限公司","惠柏新材",,0,"","化学原料和化学制品制造业","上海","",,,,"","上海"
"M000660","绍兴兴欣新材料股份有限公司","兴欣新材",,0,"","化学原料和化学制品制造业","浙江","",,,,"","浙江"
"M000642","惠州仁信新材料股份有限公司","仁信新材",,0,"","化学原料和化学制品制造业","广东","",,,,"","广东"
"M000694","福建南王环保科技股份有限公司","南王科技",,0,"","造纸和纸制品业","福建","",,,,"","福建"
"M000618","山西凝固力新型材料股份有限公司","凝固力",,0,"","非金属矿物制品业","山西","",,,,"","山西"
"M000013","亚联机械股份有限公司","亚联机械",,0,"","专用设备制造业","吉林","",,,,"","吉林"
"M000687","青岛豪江智能科技股份有限公司","豪江智能",,0,"","电气机械和器材制造业","山东","",,,,"","山东"
"M000571","美新科技股份有限公司","美新科技",,0,"","橡胶和塑料制品业","广东","",,,,"","广东"
"M000625","昆山玮硕恒基智能科技股份有限公司","玮硕恒基",,0,"","计算机、通信和其他电子设备制造业","江苏","",,,,"","江苏"
"M000023","国科恒泰（北京）医疗科技股份有限公司","国科恒泰",,0,"","批发业","北京","",,,,"","北京"
"M000634","浙江科腾精工机械股份有限公司","科腾精工",,0,"","通用设备制造业","浙江","",,,,"","浙江"
"M000128","上海威士顿信息技术股份有限公司","威士顿",,0,"","软件和信息技术服务业","上海","",,,,"","上海"
"M000104","湖南恒昌医药集团股份有限公司","恒昌医药",,0,"","批发业","湖南","",,,,"","湖南"
"M000248","江苏康力源体育科技股份有限公司","康力源",,0,"","文教、工美、体育和娱乐用品制造业","江苏","",,,,"","江苏"
"M000661","常州特尔玛科技股份有限公司","特尔玛",,0,"","通用设备制造业","江苏","",,,,"","江苏"
"M000032","致欧家居科技股份有限公司","致欧科技",,0,"","零售业","河南","",,,,"","河南"
"M000639","池州华宇电子科技股份有限公司","华宇电子",,0,"","计算机、通信和其他电子设备制造业","安徽","",,,,"","安徽"
"M000577","深圳市智信精密仪器股份有限公司","智信精密",,0,"","专用设备制造业","广东","",,,,"","广东"
"M000692","浙江长城搅拌设备股份有限公司","长城搅拌",,0,"","通用设备制造业","浙江","",,,,"","浙江"
"M000681","苏州朗威电子机械股份有限公司","朗威股份",,0,"","金属制品业","江苏","",,,,"","江苏"
"M000677","深圳市达科为生物技术股份有限公司","达科为",,0,"","批发业","广东","",,,,"","广东"
"M000025","江苏翔腾新材料股份有限公司","翔腾新材",,0,"","计算机、通信和其他电子设备制造业","江苏","",,,,"","江苏"
"M000648","江西艾芬达暖通科技股份有限公司","艾芬达",,0,"","金属制品业","江西","",,,,"","江西"
"M000671","天津津荣天宇精密机械股份有限公司","津荣天宇",,0,"","金属制品业","天津","",,,,"","天津"
"M000047","广西森合高新科技股份有限公司","森合高科",,0,"","化学原料和化学制品制造业","广西","",,,,"","广西"
"M000651","深圳市金百泽电子科技股份有限公司","金百泽",,0,"","计算机、通信和其他电子设备制造业","广东","",,,,"","广东"
"M000614","山东凯盛新材料股份有限公司","凯盛新材",,0,"","化学原料和化学制品制造业","山东","",,,,"","山东"
"M000053","广州市金钟汽车零件股份有限公司","金钟股份",,0,"","汽车制造业","广东","",,,,"","广东"
"M000644","铜陵洁雅生物科技股份有限公司","洁雅股份",,0,"","化学原料和化学制品制造业","安徽","",,,,"","安徽"
"M000685","德州联合石油科技股份有限公司","德石股份",,0,"","专用设备制造业","山东","",,,,"","山东"
"M000659","福建远翔新材料股份有限公司","远翔新材",,0,"","化学原料和化学制品制造业","福建","",,,,"","福建"
"M000142","上海真兰仪表科技股份有限公司","真兰仪表",,0,"","仪器仪表制造业","上海","",,,,"","上海"
"M000613","新疆阿克苏水务环保集团股份有限公司","新水环保",,0,"","电力、热力生产和供应业","新疆","",,,,"","新疆"
