"type","name","intermediary_order","intermediary_id","project_id"
2,"天健会计师事务所（特殊普通合伙）",,"天健会计师事务所（特殊普通合伙）","1001886"
3,"国浩律师（杭州）事务所",,"国浩律师（杭州）事务所","1001886"
1,"东方证券承销保荐有限公司",,"东方证券承销保荐有限公司","1001886"
4,"",,"","1001886"
1,"财通证券股份有限公司",,"财通证券股份有限公司","1001972"
1,"海通证券股份有限公司",,"海通证券股份有限公司","1001948"
1,"中原证券股份有限公司",,"中原证券股份有限公司","1001930"
3,"上海市通力律师事务所",,"上海市通力律师事务所","1001756"
1,"中国国际金融股份有限公司",,"中国国际金融股份有限公司","1001756"
4,"江苏华信资产评估有限公司",,"江苏华信资产评估有限公司","1001756"
4,"天源资产评估有限公司",,"天源资产评估有限公司","1002156"
3,"北京德恒律师事务所",,"北京德恒律师事务所","1001521"
4,"中水致远资产评估有限公司",,"中水致远资产评估有限公司","1001521"
2,"天健会计师事务所（特殊普通合伙）",,"天健会计师事务所（特殊普通合伙）","1001491"
4,"汇誉中证资产评估（北京）有限公司",,"汇誉中证资产评估（北京）有限公司","1001948"
4,"中水致远资产评估有限公司",,"中水致远资产评估有限公司","1001175"
2,"中汇会计师事务所（特殊普通合伙）",,"中汇会计师事务所（特殊普通合伙）","1002156"
4,"银信资产评估有限公司",,"银信资产评估有限公司","1001431"
3,"国浩律师（上海）事务所",,"国浩律师（上海）事务所","1001505"
3,"北京市通商律师事务所",,"北京市通商律师事务所","1001491"
4,"中瑞世联资产评估集团有限公司",,"中瑞世联资产评估集团有限公司","1002253"
1,"东吴证券股份有限公司",,"东吴证券股份有限公司","1002156"
3,"国浩律师（上海）事务所",,"国浩律师（上海）事务所","1001930"
2,"容诚会计师事务所（特殊普通合伙）",,"容诚会计师事务所（特殊普通合伙）","1001756"
4,"江苏中企华中天资产评估有限公司",,"江苏中企华中天资产评估有限公司","1001930"
2,"立信会计师事务所（特殊普通合伙）",,"立信会计师事务所（特殊普通合伙）","1001505"
4,"北京中同华资产评估有限公司",,"北京中同华资产评估有限公司","1001491"
3,"国浩律师（南京）事务所",,"国浩律师（南京）事务所","1002156"
3,"湖南启元律师事务所",,"湖南启元律师事务所","1001948"
3,"北京市金杜律师事务所",,"北京市金杜律师事务所","1001888"
2,"致同会计师事务所（特殊普通合伙）",,"致同会计师事务所（特殊普通合伙）","1001888"
2,"天健会计师事务所（特殊普通合伙）",,"天健会计师事务所（特殊普通合伙）","1002463"
2,"立信会计师事务所（特殊普通合伙）",,"立信会计师事务所（特殊普通合伙）","1001930"
2,"致同会计师事务所（特殊普通合伙）",,"致同会计师事务所（特殊普通合伙）","1002052"
1,"中信建投证券股份有限公司",,"中信建投证券股份有限公司","1001888"
4,"中京民信（北京）资产评估有限公司",,"中京民信（北京）资产评估有限公司","1001888"
3,"北京大成律师事务所",,"北京大成律师事务所","1001431"
1,"广发证券股份有限公司",,"广发证券股份有限公司","1001431"
1,"中泰证券股份有限公司",,"中泰证券股份有限公司","1001505"
4,"万隆（上海）资产评估有限公司",,"万隆（上海）资产评估有限公司","1001505"
2,"天健会计师事务所(特殊普通合伙)",,"天健会计师事务所(特殊普通合伙)","1001948"
1,"湘财证券股份有限公司",,"湘财证券股份有限公司","1001175"
3,"广东信达律师事务所",,"广东信达律师事务所","1001175"
3,"北京市君泽君律师事务所",,"北京市君泽君律师事务所","1002253"
1,"安信证券股份有限公司",,"安信证券股份有限公司","1002253"
3,"国浩律师（杭州）事务所",,"国浩律师（杭州）事务所","1001972"
2,"容诚会计师事务所（特殊普通合伙）",,"容诚会计师事务所（特殊普通合伙）","1002253"
1,"开源证券股份有限公司",,"开源证券股份有限公司","1001491"
4,"天源资产评估有限公司",,"天源资产评估有限公司","1001972"
2,"天衡会计师事务所（特殊普通合伙）",,"天衡会计师事务所（特殊普通合伙）","1001539"
2,"容诚会计师事务所（特殊普通合伙）",,"容诚会计师事务所（特殊普通合伙）","1001521"
1,"华泰联合证券有限责任公司",,"华泰联合证券有限责任公司","1001521"
2,"立信会计师事务所（特殊普通合伙）",,"立信会计师事务所（特殊普通合伙）","1001431"
2,"致同会计师事务所（特殊普通合伙）",,"致同会计师事务所（特殊普通合伙）","1001512"
3,"上海市方达律师事务所",,"上海市方达律师事务所","1001512"
1,"瑞信方正证券有限责任公司",,"瑞信方正证券有限责任公司","1001512"
3,"北京市中伦律师事务所",,"北京市中伦律师事务所","1002463"
1,"国泰君安证券股份有限公司",,"国泰君安证券股份有限公司","1002463"
4,"",,"","1002463"
3,"安徽承义律师事务所",,"安徽承义律师事务所","1001539"
1,"东吴证券股份有限公司",,"东吴证券股份有限公司","1001539"
