"project_id","intermediary_id","id","name","job_type","job_title"
"1001431","立信会计师事务所（特殊普通合伙）","汪文锋","汪文锋",,""
"1001886","天健会计师事务所（特殊普通合伙）","屠晗","屠晗",,""
"1001886","东方证券承销保荐有限公司","陈华明","陈华明",,""
"1001972","中汇会计师事务所（特殊普通合伙）","唐谷","唐谷",,""
"1001948","天健会计师事务所(特殊普通合伙)","易幕丽","易幕丽",,""
"1001972","国浩律师（杭州）事务所","孙敏虎","孙敏虎",,""
"1001629","北京德恒律师事务所","罗元清","罗元清",,""
"1001431","北京大成律师事务所","李寿双","李寿双",,""
"1001837","江苏中企华中天资产评估有限公司","宋蕴中","宋蕴中",,""
"1002243","湖南启元律师事务所","陈金山","陈金山",,""
"1001948","汇誉中证资产评估（北京）有限公司","彭文恒","彭文恒",,""
"1002587","天源资产评估有限公司","叶冰影","叶冰影",,""
"1002263","上海市通力律师事务所","韩政","韩政",,""
"1001756","容诚会计师事务所（特殊普通合伙）","马云峰","马云峰",,""
"1001756","容诚会计师事务所（特殊普通合伙）","周思莹","周思莹",,""
"1001972","中汇会计师事务所（特殊普通合伙）","苏展","苏展",,""
"1001512","致同会计师事务所（特殊普通合伙）","张伟","张伟",,""
"1001756","中国国际金融股份有限公司","郭佳华","郭佳华",,""
"1001756","中国国际金融股份有限公司","吴磊磊","吴磊磊",,""
"1001491","开源证券股份有限公司","吴坷","吴坷",,""
"1002004","长江证券承销保荐有限公司","吴娟","吴娟",,""
"1001431","银信资产评估有限公司","胡豪卿","胡豪卿",,""
"1001948","汇誉中证资产评估（北京）有限公司","刘秀平","刘秀平",,""
"1001491","开源证券股份有限公司","倪其敏","倪其敏",,""
"1001759","国浩律师（上海）事务所","金诗晟","金诗晟",,""
"1001521","容诚会计师事务所（特殊普通合伙）","熊延森","熊延森",,""
"1001888","致同会计师事务所（特殊普通合伙）","雷鸿","雷鸿",,""
"1001930","立信会计师事务所（特殊普通合伙）","杜志强","杜志强",,""
"1002823","湖南启元律师事务所","徐樱","徐樱",,""
"1001930","立信会计师事务所（特殊普通合伙）","汤晶","汤晶",,""
"1001756","江苏华信资产评估有限公司","沙勇","沙勇",,""
"1001888","北京市金杜律师事务所","唐琪","唐琪",,""
"1001491","北京中同华资产评估有限公司","韩洪生","韩洪生",,""
