"project_id","total_fund_rasing","stage","stage_status","biz_type","csrc_code","law_office_id","sponsor_id","sponsor_name","accounting_firm_id","accounting_firm_name","rating_agency_id","rating_agency_name","accept_apply_date","law_office_name","asset_evaluation_institute_id","asset_evaluation_institute_name","company_id","update_date","create_date","company_name","stage_name","stage_status_name","issue_market","csrc_desc","accept_apply_time","update_time","create_time","sponsor_code","sub_sponsor_id","sub_sponsor_name","sub_sponsor_code"
"1001886",4.8609,60,95,1,"","国浩律师（杭州）事务所","东方证券承销保荐有限公司","东方证券承销保荐有限公司","天健会计师事务所（特殊普通合伙）","天健会计师事务所（特殊普通合伙）","","","2021-12-29","国浩律师（杭州）事务所","","","M000692","2022-09-14","2021-12-29","浙江志高机械股份有限公司","终止","终止(撤回)",16,"专用设备制造业",1640707200000,1663084800000,1640707200000,"000692","","",""
"1001505",5.3268,40,70,1,"","国浩律师（上海）事务所","中泰证券股份有限公司","中泰证券股份有限公司","立信会计师事务所（特殊普通合伙）","立信会计师事务所（特殊普通合伙）","","","2021-06-30","国浩律师（上海）事务所","万隆（上海）资产评估有限公司","万隆（上海）资产评估有限公司","M000633","2022-12-30","2021-06-30","苏州未来电器股份有限公司","注册结果","注册生效",16,"电气机械和器材制造业",1624982400000,1672329600000,1624982400000,"000633","","",""
"1001948",5.2964,30,45,1,"","湖南启元律师事务所","海通证券股份有限公司","海通证券股份有限公司","天健会计师事务所(特殊普通合伙)","天健会计师事务所(特殊普通合伙)","","","2021-12-28","湖南启元律师事务所","汇誉中证资产评估（北京）有限公司","汇誉中证资产评估（北京）有限公司","M000104","2022-12-30","2021-12-28","湖南崇德科技股份有限公司","上市委会议","上市委会议通过",16,"通用设备制造业",1640620800000,1672329600000,1640620800000,"000104","","",""
"1001512",8,30,45,1,"","上海市方达律师事务所","瑞信方正证券有限责任公司","瑞信方正证券有限责任公司","致同会计师事务所（特殊普通合伙）","致同会计师事务所（特殊普通合伙）","","","2021-06-21","上海市方达律师事务所","沃克森（北京）国际资产评估有限公司，北京亚太联华资产评估有限公司","沃克森（北京）国际资产评估有限公司，北京亚太联华资产评估有限公司","M000687","2022-10-10","2021-06-21","北京数聚智连科技股份有限公司","上市委会议","上市委会议通过",16,"零售业",1624204800000,1665331200000,1624204800000,"000687","","",""
"1001431",6.8173,40,70,1,"","北京大成律师事务所","广发证券股份有限公司","广发证券股份有限公司","立信会计师事务所（特殊普通合伙）","立信会计师事务所（特殊普通合伙）","","","2021-05-25","北京大成律师事务所","银信资产评估有限公司","银信资产评估有限公司","M000032","2023-03-24","2021-05-25","北方长龙新材料技术股份有限公司","注册结果","注册生效",16,"其他制造业",1621872000000,1679587200000,1621872000000,"000032","","",""
"1001491",24.8109,50,80,1,"","北京市通商律师事务所","开源证券股份有限公司","开源证券股份有限公司","天健会计师事务所（特殊普通合伙）","天健会计师事务所（特殊普通合伙）","","","2021-06-30","北京市通商律师事务所","北京中同华资产评估有限公司","北京中同华资产评估有限公司","M000628","2023-03-31","2021-06-30","重庆国际复合材料股份有限公司","中止","中止",16,"非金属矿物制品业",1624982400000,1680192000000,1624982400000,"000628","","",""
"1002463",6.3661,60,95,1,"","北京市中伦律师事务所","国泰君安证券股份有限公司","国泰君安证券股份有限公司","天健会计师事务所（特殊普通合伙）","天健会计师事务所（特殊普通合伙）","","","2022-09-13","北京市中伦律师事务所","","","M000612","2023-02-09","2022-09-13","科都电气股份有限公司","终止","终止(撤回)",16,"通用设备制造业",1662998400000,1675872000000,1662998400000,"000612","","",""
"1001539",2.9223,40,70,1,"","安徽承义律师事务所","东吴证券股份有限公司","东吴证券股份有限公司","天衡会计师事务所（特殊普通合伙）","天衡会计师事务所（特殊普通合伙）","","","2021-06-29","安徽承义律师事务所","江苏中企华中天资产评估有限公司","江苏中企华中天资产评估有限公司","M000287","2023-03-30","2021-06-29","荣旗工业科技（苏州）股份有限公司","注册结果","注册生效",16,"专用设备制造业",1624896000000,1680105600000,1624896000000,"000287","","",""
"1002253",13.55,50,80,1,"","北京市君泽君律师事务所","安信证券股份有限公司","安信证券股份有限公司","容诚会计师事务所（特殊普通合伙）","容诚会计师事务所（特殊普通合伙）","","","2022-06-21","北京市君泽君律师事务所","中瑞世联资产评估集团有限公司","中瑞世联资产评估集团有限公司","M000681","2023-03-31","2022-06-21","乔锋智能装备股份有限公司","中止","中止",16,"通用设备制造业",1655740800000,1680192000000,1655740800000,"000681","","",""
"1001521",3.7078,30,45,1,"","北京德恒律师事务所","华泰联合证券有限责任公司","华泰联合证券有限责任公司","容诚会计师事务所（特殊普通合伙）","容诚会计师事务所（特殊普通合伙）","","","2021-06-24","北京德恒律师事务所","中水致远资产评估有限公司","中水致远资产评估有限公司","M000577","2023-03-31","2021-06-24","安徽舜禹水务股份有限公司","上市委会议","上市委会议通过",16,"专用设备制造业",1624464000000,1680192000000,1624464000000,"000577","","",""
