"id","name","abbr","code","csrc_company_type","csrc_code","csrc_desc","province","city","phone","website","email","csrc_parent_code","loc"
"30077","中联资产评估集团（浙江）有限公司","中联资产评估",,4,"","","","",,,,"",""
"10012","北京市竞天公诚律师事务所","北京市竞天公诚",,3,"","","","",,,,"",""
"30001","安徽中联国信资产评估有限责任公司","安徽中联国信",,4,"","","","",,,,"",""
"30066","中资资产评估有限公司","中资",,4,"","","","",,,,"",""
"0_1085","浙商证券股份有限公司","浙商证券",,1,"","","","",,,,"",""
"10038","上海市通力律师事务所","上海市通力",,3,"","","","",,,,"",""
"30078","厦门嘉学资产评估房地产估价有限公司","厦门嘉学",,4,"","","","",,,,"",""
"30011","北京中锋资产评估有限责任公司","北京中锋",,4,"","","","",,,,"",""
"20001","安永华明会计师事务所（特殊普通合伙）","安永华明",,2,"","","","",,,,"",""
"10017","浙江天册律师事务所","浙江天册",,3,"","","","",,,,"",""
"30055","正衡房地产资产评估有限公司","正衡",,4,"","","","",,,,"",""
"30026","国众联资产评估土地房地产估价有限公司","国众联",,4,"","","","",,,,"",""
"11027","北京市大嘉律师事务所","北京市大嘉",,3,"","","","",,,,"",""
"11438","上海国瓴律师事务所","上海国瓴",,3,"","","","",,,,"",""
"20014","江苏苏亚金诚会计师事务所（特殊普通合伙）","苏亚金诚",,2,"","","","",,,,"",""
"30044","四川天健华衡资产评估有限公司","四川天健华衡",,4,"","","","",,,,"",""
"10013","广东华商律师事务所","广东华商",,3,"","","","",,,,"",""
"30030","江苏中企华中天资产评估有限公司","江苏中企华中天",,4,"","","","",,,,"",""
"30027","湖北众联资产评估有限公司","湖北众联",,4,"","","","",,,,"",""
"30037","上海财瑞资产评估有限公司","上海财瑞",,4,"","","","",,,,"",""
"20021","上会会计师事务所（特殊普通合伙）","上会",,2,"","","","",,,,"",""
"30049","万邦资产评估有限公司","万邦",,4,"","","","",,,,"",""
"10239","北京安新律师事务所","北京安新",,3,"","","","",,,,"",""
"10015","北京金诚同达律师事务所","北京金诚同达",,3,"","","","",,,,"",""
"11428","国浩律师（南京）事务所","国浩律师（南京）",,3,"","","","",,,,"",""
"30075","汇誉中证资产评估（北京）有限公司","汇誉中证",,4,"","","","",,,,"",""
"10028","北京观韬中茂律师事务所","北京观韬中茂",,3,"","","","",,,,"",""
"30070","北京华亚正信资产评估有限公司","北京华亚正信",,4,"","","","",,,,"",""
"11183","北京世辉律师事务所","北京世辉",,3,"","","","",,,,"",""
"10676","北京济和律师事务所","北京济和",,3,"","","","",,,,"",""
"30048","同致信德（北京）资产评估有限公司","同致信德（北京）",,4,"","","","",,,,"",""
"0_1017","东海证券股份有限公司","东海证券",,1,"","","","",,,,"",""
"10136","浙江浙经律师事务所","浙江浙经",,3,"","","","",,,,"",""
"0_1066","申万宏源证券承销保荐有限责任公司","申万宏源承销保荐",,1,"","","","",,,,"",""
"20023","天衡会计师事务所（特殊普通合伙）","天衡",,2,"","","","",,,,"",""
"30034","辽宁众华资产评估有限公司","辽宁众华",,4,"","","","",,,,"",""
"10019","安徽天禾律师事务所","安徽天禾",,3,"","","","",,,,"",""
"30043","深圳市鹏信资产评估土地房地产估价有限公司","深圳市鹏信",,4,"","","","",,,,"",""
