"type","name","intermediary_order","intermediary_id","project_id"
4,"宇威国际资产评估（深圳）有限公司",1,"30076","1138"
1,"安信证券股份有限公司",1,"0_1002","1048"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1138"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1048"
3,"国浩律师（上海）事务所",1,"11420","1048"
4,"北京中天华资产评估有限责任公司",1,"30018","1048"
1,"中信证券股份有限公司",1,"0_1096","1035"
3,"上海市通力律师事务所",1,"10038","1035"
4,"福建联合中和资产评估土地房地产估价有限公司",1,"30021","1035"
1,"中信证券股份有限公司",1,"0_1096","1076"
2,"大华会计师事务所（特殊普通合伙）",1,"20007","1076"
3,"北京市天元律师事务所",1,"10014","1076"
4,"汇誉中证资产评估（北京）有限公司",1,"30075","1076"
1,"民生证券股份有限公司",1,"0_1058","1138"
1,"中信建投证券股份有限公司",1,"0_1095","1080"
2,"中审众环会计师事务所（特殊普通合伙）",1,"20034","1080"
3,"北京国枫律师事务所",1,"10008","1080"
4,"坤元资产评估有限公司",1,"30032","1090"
4,"中水致远资产评估有限公司",1,"30063","1143"
1,"民生证券股份有限公司",1,"0_1058","1098"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1098"
3,"北京德恒律师事务所",1,"10003","1098"
4,"中水致远资产评估有限公司",1,"30063","1098"
4,"湖北众联资产评估有限公司",1,"30027","1080"
1,"国金证券股份有限公司",1,"0_1028","1176"
2,"天职国际会计师事务所（特殊普通合伙）",1,"20025","1176"
3,"北京金诚同达律师事务所",1,"10015","1176"
4,"广东联信资产评估土地房地产估价有限公司",1,"30023","1176"
1,"中信建投证券股份有限公司",1,"0_1095","1137"
2,"大华会计师事务所（特殊普通合伙）",1,"20007","1137"
3,"北京市大嘉律师事务所",1,"11027","1137"
4,"中联资产评估集团有限公司",1,"30060","1137"
1,"国信证券股份有限公司",1,"0_1033","1144"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1144"
1,"中信证券股份有限公司",1,"0_1096","1195"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1195"
3,"北京国枫律师事务所",1,"10008","1195"
1,"招商证券股份有限公司",1,"0_1084","1200"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1200"
3,"国浩律师（上海）事务所",1,"11420","1200"
4,"中水致远资产评估有限公司",1,"30063","1200"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1090"
3,"上海市锦天城律师事务所",1,"10004","1090"
3,"广东信达律师事务所",1,"10010","1138"
3,"国浩律师（南京）事务所",1,"11428","1184"
4,"银信资产评估有限公司",1,"30054","1184"
1,"中信建投证券股份有限公司",1,"0_1095","1194"
2,"立信会计师事务所（特殊普通合伙）",1,"20015","1194"
1,"民生证券股份有限公司",1,"0_1058","1185"
1,"中信证券股份有限公司",1,"0_1096","1131"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1131"
2,"中汇会计师事务所（特殊普通合伙）",1,"20030","1185"
3,"浙江天册律师事务所",1,"10017","1185"
3,"北京德恒律师事务所",1,"10003","1131"
4,"正衡房地产资产评估有限公司",1,"30055","1131"
4,"中水致远资产评估有限公司",1,"30063","1185"
1,"安信证券股份有限公司",1,"0_1002","1256"
2,"大华会计师事务所（特殊普通合伙）",1,"20007","1256"
3,"北京市君合律师事务所",1,"10020","1256"
4,"上海东洲资产评估有限公司",1,"30038","1256"
1,"海通证券股份有限公司",1,"0_1035","1309"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1309"
1,"方正证券承销保荐有限责任公司",1,"0_1088","1134"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1134"
3,"北京德恒律师事务所",1,"10003","1134"
4,"天源资产评估有限公司",1,"30047","1134"
1,"招商证券股份有限公司",1,"0_1084","1273"
3,"国浩律师（杭州）事务所",1,"11419","1309"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1273"
1,"国信证券股份有限公司",1,"0_1033","1012"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1012"
3,"北京济和律师事务所",1,"10676","1012"
1,"中信证券股份有限公司",1,"0_1096","1061"
2,"立信会计师事务所（特殊普通合伙）",1,"20015","1061"
3,"北京市中伦律师事务所",1,"10006","1061"
4,"北京国融兴华资产评估有限责任公司",1,"30003","1061"
3,"北京市金杜律师事务所",1,"10009","1273"
4,"中水致远资产评估有限公司",1,"30063","1273"
1,"海通证券股份有限公司",1,"0_1035","1146"
3,"上海市锦天城律师事务所",1,"10004","1146"
4,"沃克森（北京）国际资产评估有限公司",1,"30051","1146"
1,"中信建投证券股份有限公司",1,"0_1095","1141"
3,"北京市中伦律师事务所",1,"10006","1141"
4,"国众联资产评估土地房地产估价有限公司",1,"30026","1141"
1,"国泰君安证券股份有限公司",1,"0_1032","1081"
2,"致同会计师事务所（特殊普通合伙）",1,"20029","1081"
3,"北京德恒律师事务所",1,"10003","1081"
4,"中水致远资产评估有限公司",1,"30063","1081"
1,"海通证券股份有限公司",1,"0_1035","1184"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1184"
2,"大华会计师事务所（特殊普通合伙）",1,"20007","1067"
3,"北京观韬中茂律师事务所",1,"10028","1067"
4,"国专正华（北京）资产评估有限责任公司",1,"30074","1067"
1,"国信证券股份有限公司",1,"0_1033","555"
2,"立信会计师事务所（特殊普通合伙）",1,"20015","555"
1,"兴业证券股份有限公司",1,"0_1081","1082"
2,"公证天业会计师事务所（特殊普通合伙）",1,"20041","1082"
3,"江苏世纪同仁律师事务所",1,"313200007205822566","1082"
4,"北京华亚正信资产评估有限公司",1,"30070","1082"
3,"北京国枫律师事务所",1,"10008","1168"
4,"国众联资产评估土地房地产估价有限公司",1,"30026","1168"
1,"中信建投证券股份有限公司",1,"0_1095","1167"
1,"浙商证券股份有限公司",1,"0_1085","1129"
2,"天职国际会计师事务所（特殊普通合伙）",1,"20025","1129"
3,"北京德恒律师事务所",1,"10003","1129"
4,"沃克森（北京）国际资产评估有限公司",1,"30051","1129"
2,"致同会计师事务所（特殊普通合伙）",1,"20029","1167"
1,"申万宏源证券承销保荐有限责任公司",1,"0_1066","1117"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1117"
3,"上海市锦天城律师事务所",1,"10004","1117"
4,"同致信德（北京）资产评估有限公司",1,"30048","1117"
3,"北京市中伦律师事务所",1,"10006","1167"
4,"中联资产评估集团（浙江）有限公司",1,"30077","1167"
1,"中信建投证券股份有限公司",1,"0_1095","1145"
2,"天职国际会计师事务所（特殊普通合伙）",1,"20025","1145"
1,"国元证券股份有限公司",1,"0_1034","1057"
2,"容诚会计师事务所（特殊普通合伙）",1,"20012","1057"
3,"北京安新律师事务所",1,"10239","1057"
4,"中水致远资产评估有限公司",1,"30063","1057"
3,"北京市竞天公诚律师事务所",1,"10012","1145"
4,"安徽中联国信资产评估有限责任公司",1,"30001","1145"
4,"北京中企华资产评估有限责任公司",2,"30015","1145"
1,"国金证券股份有限公司",1,"0_1028","1030"
3,"上海市锦天城律师事务所",1,"10004","1030"
1,"安信证券股份有限公司",1,"0_1002","1044"
4,"中水致远资产评估有限公司",1,"30063","1030"
2,"立信会计师事务所（特殊普通合伙）",1,"20015","1044"
1,"中国国际金融股份有限公司",1,"0_1087","1023"
2,"安永华明会计师事务所（特殊普通合伙）",1,"20001","1023"
3,"北京市君合律师事务所",1,"10020","1044"
4,"国众联资产评估土地房地产估价有限公司",1,"30026","1044"
3,"北京市中伦律师事务所",1,"10006","555"
4,"国众联资产评估土地房地产估价有限公司",1,"30026","555"
1,"海通证券股份有限公司",1,"0_1035","1100"
3,"江苏世纪同仁律师事务所",1,"313200007205822566","1100"
3,"上海市方达律师事务所",1,"10105","1023"
1,"申万宏源证券承销保荐有限责任公司",1,"0_1066","1067"
4,"中水致远资产评估有限公司",1,"30063","1100"
1,"东海证券股份有限公司",1,"0_1017","1087"
2,"天健会计师事务所（特殊普通合伙）",1,"20024","1087"
3,"北京市中伦律师事务所",1,"10006","1087"
