"project_id","intermediary_id","id","name","job_type","job_title"
"545","20029","801176","徐华",31,"会计事务所负责人"
"545","20029","801177","孙宁",32,"签字会计师A"
"545","20029","801178","董阳阳",33,"签字会计师B"
"545","10006","801181","张学兵",41,"律师事务所负责人"
"545","10006","801182","熊川",42,"签字律师A"
"545","10006","801183","刘新辉",43,"签字律师B"
"545","10006","801184","王振",44,"签字律师C（或有）"
"545","30063","801186","肖力",51,"评估事务所负责人"
"545","30063","801187","林幼兵",52,"签字评估师A"
"953","0_1095","797908","李重阳",22,"保荐代表人A"
"953","0_1095","797909","董军峰",23,"保荐代表人B"
"953","0_1095","797910","杨明赫",24,"项目协办人"
"953","0_1095","797905","刘乃生",21,"保荐业务负责人"
"953","20001","797923","毛鞍宁",31,"会计事务所负责人"
"953","20001","797924","刘颖",32,"签字会计师A"
"953","20001","797925","赵国豪",33,"签字会计师B"
"953","10014","797928","朱小辉",41,"律师事务所负责人"
"953","10014","797929","石磊",42,"签字律师A"
"953","10014","797930","翟晓津",43,"签字律师B"
"953","10014","797931","陈林君",44,"签字律师C（或有）"
"953","30073","797933","江丽华",51,"评估事务所负责人"
"953","30073","797934","胡景华",52,"签字评估师A"
"953","30073","797935","刘仁旭",53,"签字评估师B（如有）"
"958","0_1096","813871","马尧",21,"保荐业务负责人"
"958","0_1096","813874","王昌",22,"保荐代表人A"
"958","0_1096","813875","张锦胜",23,"保荐代表人B"
"958","20024","813889","胡少先",31,"会计事务所负责人"
"958","20024","813890","杨克晶",32,"签字会计师A"
"958","20024","813891","邹甜甜",33,"签字会计师B"
"958","10156","813894","杨爱东",41,"律师事务所负责人"
"958","10156","813895","张文晶",42,"签字律师A"
"958","10156","813896","杨爱东",43,"签字律师B"
"992","0_1087","813189","李扬",22,"保荐代表人A"
"992","0_1087","813190","龙亮",23,"保荐代表人B"
"992","0_1087","813191","石凌怡",24,"项目协办人"
"992","0_1087","813186","孙雷",21,"保荐业务负责人"
"992","0_1097","813192","沈奕",21,"保荐业务负责人"
"539","0_1096","539648","马尧",21,"保荐业务负责人"
"539","0_1096","539651","邵才捷",22,"保荐代表人A"
"539","0_1096","539652","马可",23,"保荐代表人B"
"539","0_1096","539653","慎利亚",24,"项目协办人"
"539","20027","539666","叶韶勋",31,"会计事务所负责人"
"539","20027","539667","梁晓燕",32,"签字会计师A"
"539","20027","539668","田娟",33,"签字会计师B"
"539","10012","539671","赵洋",41,"律师事务所负责人"
"539","10012","539672","邓海平",42,"签字律师A"
"539","10012","539673","叶兰",43,"签字律师B"
"539","30041","539676","左英浩",51,"评估事务所负责人"
"539","30041","539677","钱进",52,"签字评估师A"
"539","30041","539678","杨歌",53,"签字评估师B（如有）"
"420","0_1081","500918","胡平生",21,"保荐业务负责人"
"420","0_1081","500921","吕泉鑫",22,"保荐代表人A"
"420","0_1081","500922","詹立方",23,"保荐代表人B"
"420","0_1081","500923","刘洪",24,"项目协办人"
"420","20029","500936","徐华",31,"会计事务所负责人"
"420","20029","500937","林庆瑜",32,"签字会计师A"
"420","20029","500938","张采",33,"签字会计师B"
"420","10056","500941","柏涛",41,"律师事务所负责人"
"420","10056","500942","林涵",42,"签字律师A"
"420","10056","500943","蒋慧",43,"签字律师B"
"420","10056","500944","普泽昆",44,"签字律师C（或有）"
"420","30052","500946","王健青",51,"评估事务所负责人"
"420","30052","500947","廖丹霞",52,"签字评估师A"
"420","30052","500948","徐梁灵",53,"签字评估师B（如有）"
"460","0_1035","523282","任澎",21,"保荐业务负责人"
"460","0_1035","523285","于军杰",22,"保荐代表人A"
