"project_id","total_fund_rasing","stage","stage_status","biz_type","csrc_code","law_office_id","sponsor_id","sponsor_name","accounting_firm_id","accounting_firm_name","rating_agency_id","rating_agency_name","accept_apply_date","law_office_name","asset_evaluation_institute_id","asset_evaluation_institute_name","company_id","update_date","create_date","company_name","stage_name","stage_status_name","issue_market","csrc_desc","accept_apply_time","update_time","create_time"
"1035",9.8568,5,1,1,"C27","10038","0_1096","中信证券股份有限公司","20007","大华会计师事务所（特殊普通合伙）","","","20210930150743","上海市通力律师事务所","30021","福建联合中和资产评估土地房地产估价有限公司","1ab08f5636ecb764dfc7e6f0c7f3945d","20220907165634","20210928222514","江苏康为世纪生物科技股份有限公司","注册结果","注册生效",1,"医药制造业",1632985663000,1662540994000,1632839114000
"1176",5.4969,7,1,1,"C35","10015","0_1028","国金证券股份有限公司","20025","天职国际会计师事务所（特殊普通合伙）","","","20220608194759","北京金诚同达律师事务所","30023","广东联信资产评估土地房地产估价有限公司","3eb19f3436806b2830a180316a824ef8","20230331135449","20220604153155","博创智能装备股份有限公司","中止","中止，财报更新",1,"专用设备制造业",1654688879000,1680242089000,1654327915000
"1076",15.5048,5,1,1,"C39","10014","0_1096","中信证券股份有限公司","20007","大华会计师事务所（特殊普通合伙）","","","20211222160049","北京市天元律师事务所","30075","汇誉中证资产评估（北京）有限公司","44144392d0d8e8d0d53aa1b20997587b","20220907165624","20211217171841","上海灿瑞科技股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1640160049000,1662540984000,1639732721000
"1195",10.1724,5,1,1,"I65","10008","0_1096","中信证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20220622185622","北京国枫律师事务所","30038","上海东洲资产评估有限公司","b74c3014fa56c6e9e971df7700e4ee3b","20230421174118","20220617100720","南京莱斯信息技术股份有限公司IPO项目","注册结果","注册生效",1,"软件和信息技术服务业",1655895382000,1682070078000,1655431640000
"1098",15,5,1,1,"M73","10003","0_1058","民生证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20211229141546","北京德恒律师事务所","30063","中水致远资产评估有限公司","01f33fed5699e771fd3b6355528c392c","20220906122335","20211224210639","苏州近岸蛋白质科技股份有限公司","注册结果","注册生效",1,"研究和试验发展",1640758546000,1662438215000,1640351199000
"1200",11.1945,5,1,1,"C40","11420","0_1084","招商证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20220622185601","国浩律师（上海）事务所","30063","中水致远资产评估有限公司","6ea345257152064009c6f56700e685d8","20230426173103","20220617190829","合肥埃科光电科技股份有限公司","注册结果","注册生效",1,"仪器仪表制造业",1655895361000,1682501463000,1655464109000
"1137",40,5,1,1,"C39","11027","0_1095","中信建投证券股份有限公司","20007","大华会计师事务所（特殊普通合伙）","","","20220412150918","北京市大嘉律师事务所","30060","中联资产评估集团有限公司","15c56db30d2c3babc7739bcd4c122a27","20221103144213","20220405193306","北京燕东微电子股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1649747358000,1667457733000,1649158386000
"1144",4.0527,5,1,1,"C39","10011","0_1033","国信证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20220520172742","北京市康达律师事务所","30032","坤元资产评估有限公司","d3f37cad5122a19f6bbd90f5960501a6","20221208164142","20220510210906","嘉兴中润光学科技股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1653038862000,1670488902000,1652188146000
"1143",15.5,7,1,1,"M73","10011","0_1047","华泰联合证券有限责任公司","20029","致同会计师事务所（特殊普通合伙）","","","20220516100155","北京市康达律师事务所","30078","厦门嘉学资产评估房地产估价有限公司","587a79f3615df23a0a6a22e5e32a6322","20230331155154","20220508184744","南京世和基因生物技术股份有限公司","中止","中止，财报更新",1,"研究和试验发展",1652666515000,1680249114000,1652006864000
"1184",6,5,1,1,"C35","11428","0_1035","海通证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20220621165003","国浩律师（南京）事务所","30054","银信资产评估有限公司","e13f2b95a38558c99870179abde36aee","20230303153957","20220609222212","无锡日联科技股份有限公司科创板IPO项目","注册结果","注册生效",1,"专用设备制造业",1655801403000,1677829197000,1654784532000
