"stock_exchange_type_desc","time","count","date","stock_exchange_type"
"沪市主板",1664985600000,2293,"2022-10-06",3
"深市主板",1664985600000,1150,"2022-10-06",4
"创业板",1665072000000,1039,"2022-10-07",2
"科创板",1665072000000,826,"2022-10-07",1
"沪市主板",1665072000000,2293,"2022-10-07",3
"创业板",1664380800000,1032,"2022-09-29",2
"科创板",1664380800000,824,"2022-09-29",1
"沪市主板",1664380800000,2285,"2022-09-29",3
"深市主板",1664380800000,1144,"2022-09-29",4
"创业板",1664467200000,1035,"2022-09-30",2
"科创板",1664467200000,826,"2022-09-30",1
"沪市主板",1663689600000,2280,"2022-09-21",3
"深市主板",1663689600000,1138,"2022-09-21",4
"沪市主板",1664467200000,2285,"2022-09-30",3
"科创板",1663689600000,820,"2022-09-21",1
"创业板",1663689600000,1023,"2022-09-21",2
"创业板",1663776000000,1023,"2022-09-22",2
"科创板",1663776000000,820,"2022-09-22",1
"沪市主板",1663776000000,2280,"2022-09-22",3
"深市主板",1663776000000,1138,"2022-09-22",4
"创业板",1663862400000,1023,"2022-09-23",2
"科创板",1663862400000,822,"2022-09-23",1
"沪市主板",1663862400000,2285,"2022-09-23",3
"深市主板",1663862400000,1144,"2022-09-23",4
"创业板",1663948800000,1024,"2022-09-24",2
"科创板",1663948800000,822,"2022-09-24",1
"沪市主板",1663948800000,2285,"2022-09-24",3
"深市主板",1663948800000,1144,"2022-09-24",4
"深市主板",1664467200000,1144,"2022-09-30",4
"创业板",1664553600000,1039,"2022-10-01",2
"科创板",1664553600000,826,"2022-10-01",1
"创业板",1664035200000,1024,"2022-09-25",2
"科创板",1664035200000,822,"2022-09-25",1
"沪市主板",1664035200000,2285,"2022-09-25",3
"深市主板",1664035200000,1144,"2022-09-25",4
"创业板",1664121600000,1024,"2022-09-26",2
"科创板",1664121600000,822,"2022-09-26",1
"沪市主板",1664121600000,2285,"2022-09-26",3
"深市主板",1664121600000,1144,"2022-09-26",4
"创业板",1664208000000,1025,"2022-09-27",2
"科创板",1664208000000,823,"2022-09-27",1
"沪市主板",1664208000000,2285,"2022-09-27",3
"深市主板",1664208000000,1144,"2022-09-27",4
"创业板",1664294400000,1027,"2022-09-28",2
"科创板",1664294400000,824,"2022-09-28",1
