"project_id","total_fund_rasing","stage","biz_type","csrc_code","sponsor_id","sponsor_name","company_id","update_date","create_date","company_name","stage_name","issue_market","csrc_desc","update_time","create_time","sponsor_code","issue_market_desc"
"浙江浙能燃气股份有限公司",0,4,,"","中国国际金融股份有限公司","中国国际金融股份有限公司","浙江浙能燃气股份有限公司","2023-03-01","2022-07-05","浙江浙能燃气股份有限公司","申报稿",3,"",1677600000000,1656950400000,"中国国际金融股份有限公司","沪市主板"
"浙江峻和科技股份有限公司",4.588,1,,"","华泰联合证券有限责任公司","华泰联合证券有限责任公司","浙江峻和科技股份有限公司","2022-07-05","2022-07-05","浙江峻和科技股份有限公司","预披露",3,"",1656950400000,1656950400000,"华泰联合证券有限责任公司","沪市主板"
"上海悦普广告集团股份有限公司",0,4,,"","中信证券股份有限公司","中信证券股份有限公司","上海悦普广告集团股份有限公司","2023-03-04","2022-07-08","上海悦普广告集团股份有限公司","申报稿",3,"",1677859200000,1657209600000,"中信证券股份有限公司","沪市主板"
"中盐安徽红四方肥业股份有限公司",0,4,,"","国元证券股份有限公司","国元证券股份有限公司","中盐安徽红四方肥业股份有限公司","2023-03-01","2022-07-05","中盐安徽红四方肥业股份有限公司","申报稿",3,"",1677600000000,1656950400000,"国元证券股份有限公司","沪市主板"
"无锡烨隆精密机械股份有限公司",0,4,,"","国金证券股份有限公司","国金证券股份有限公司","无锡烨隆精密机械股份有限公司","2023-03-03","2022-01-06","无锡烨隆精密机械股份有限公司","申报稿",3,"",1677772800000,1641398400000,"国金证券股份有限公司","沪市主板"
"陕西飞轮高铁装备股份有限公司",2.729,2,,"","长江证券承销保荐有限公司","长江证券承销保荐有限公司","陕西飞轮高铁装备股份有限公司","2016-12-30","2015-04-17","陕西飞轮高铁装备股份有限公司","预披露更新",4,"",1483027200000,1429200000000,"长江证券承销保荐有限公司","深市主板"
"浙江力聚热能装备股份有限公司",0,4,,"","中信证券股份有限公司","中信证券股份有限公司","浙江力聚热能装备股份有限公司","2023-03-01","2022-07-05","浙江力聚热能装备股份有限公司","申报稿",3,"",1677600000000,1656950400000,"中信证券股份有限公司","沪市主板"
"上海汽车空调配件股份有限公司",5.934,1,,"","民生证券股份有限公司","民生证券股份有限公司","上海汽车空调配件股份有限公司","2022-07-08","2020-07-03","上海汽车空调配件股份有限公司","预披露",3,"",1657209600000,1593705600000,"民生证券股份有限公司","沪市主板"
"想念食品股份有限公司",0,4,,"","国金证券股份有限公司","国金证券股份有限公司","想念食品股份有限公司","2023-03-01","2022-07-05","想念食品股份有限公司","申报稿",3,"",1677600000000,1656950400000,"国金证券股份有限公司","沪市主板"
"山西阳光焦化集团股份有限公司",60,2,,"","中信证券股份有限公司","中信证券股份有限公司","山西阳光焦化集团股份有限公司","2022-07-08","2022-01-06","山西阳光焦化集团股份有限公司","预披露更新",3,"",1657209600000,1641398400000,"中信证券股份有限公司","沪市主板"
"永杰新材料股份有限公司",0,4,,"","东兴证券股份有限公司","东兴证券股份有限公司","永杰新材料股份有限公司","2023-03-03","2022-07-05","永杰新材料股份有限公司","申报稿",3,"",1677772800000,1656950400000,"东兴证券股份有限公司","沪市主板"
"新湖期货股份有限公司",0,4,,"","海通证券股份有限公司","海通证券股份有限公司","新湖期货股份有限公司","2023-03-04","2022-07-05","新湖期货股份有限公司","申报稿",3,"",1677859200000,1656950400000,"海通证券股份有限公司","沪市主板"
"中路交科科技股份有限公司",0,4,,"","安信证券股份有限公司","安信证券股份有限公司","中路交科科技股份有限公司","2023-03-01","2022-07-05","中路交科科技股份有限公司","申报稿",3,"",1677600000000,1656950400000,"安信证券股份有限公司","沪市主板"
"深圳麦格米特电气股份有限公司",3.197,2,,"","申万宏源证券承销保荐有限责任公司","申万宏源证券承销保荐有限责任公司","深圳麦格米特电气股份有限公司","2016-12-09","2015-04-03","深圳麦格米特电气股份有限公司","预披露更新",4,"",1481212800000,1427990400000,"申万宏源证券承销保荐有限责任公司","深市主板"
"杭州星帅尔电器股份有限公司",2.3,2,,"","安信证券股份有限公司","安信证券股份有限公司","杭州星帅尔电器股份有限公司","2016-12-30","2015-06-19","杭州星帅尔电器股份有限公司","预披露更新",4,"",1483027200000,1434643200000,"安信证券股份有限公司","深市主板"
"东莞捷荣技术股份有限公司",14.85,2,,"","招商证券股份有限公司","招商证券股份有限公司","东莞捷荣技术股份有限公司","2016-12-20","2015-01-09","东莞捷荣技术股份有限公司","预披露更新",4,"",1482163200000,1420732800000,"招商证券股份有限公司","深市主板"
"郑州三晖电气股份有限公司",3.153,2,,"","民生证券股份有限公司","民生证券股份有限公司","郑州三晖电气股份有限公司","2016-12-28","2014-11-14","郑州三晖电气股份有限公司","预披露更新",4,"",1482854400000,1415894400000,"民生证券股份有限公司","深市主板"
"上海力盛赛车文化股份有限公司",1.066,2,,"","华林证券股份有限公司","华林证券股份有限公司","上海力盛赛车文化股份有限公司","2016-12-09","2014-11-28","上海力盛赛车文化股份有限公司","预披露更新",4,"",1481212800000,1417104000000,"华林证券股份有限公司","深市主板"
"回头客食品集团股份有限公司",6.2,1,,"","中信证券股份有限公司","中信证券股份有限公司","回头客食品集团股份有限公司","2016-12-30","2016-12-30","回头客食品集团股份有限公司","预披露",4,"",1483027200000,1483027200000,"中信证券股份有限公司","深市主板"
"樱桃谷育种科技股份有限公司",1.84,1,,"","五矿证券有限公司","五矿证券有限公司","樱桃谷育种科技股份有限公司","2022-07-05","2022-07-05","樱桃谷育种科技股份有限公司","预披露",3,"",1656950400000,1656950400000,"五矿证券有限公司","沪市主板"
"苏州新大陆精密科技股份有限公司",5.838,2,,"","民生证券股份有限公司","民生证券股份有限公司","苏州新大陆精密科技股份有限公司","2022-07-22","2022-01-06","苏州新大陆精密科技股份有限公司","预披露更新",3,"",1658419200000,1641398400000,"民生证券股份有限公司","沪市主板"
"华林证券股份有限公司",0,2,,"","招商证券股份有限公司","招商证券股份有限公司","华林证券股份有限公司","2017-09-18","2016-09-30","华林证券股份有限公司","预披露更新",4,"",1505664000000,1475164800000,"招商证券股份有限公司","深市主板"
"山东联诚精密制造股份有限公司",0,2,,"","中泰证券股份有限公司","中泰证券股份有限公司","山东联诚精密制造股份有限公司","2017-09-29","2016-06-24","山东联诚精密制造股份有限公司","预披露更新",4,"",1506614400000,1466697600000,"中泰证券股份有限公司","深市主板"
"深圳市金奥博科技股份有限公司",0,2,,"","招商证券股份有限公司","招商证券股份有限公司","深圳市金奥博科技股份有限公司","2017-09-29","2016-12-23","深圳市金奥博科技股份有限公司","预披露更新",4,"",1506614400000,1482422400000,"招商证券股份有限公司","深市主板"
"深圳市东方嘉盛供应链股份有限公司",6.747,2,,"","中信证券股份有限公司","中信证券股份有限公司","深圳市东方嘉盛供应链股份有限公司","2017-06-09","2015-12-25","深圳市东方嘉盛供应链股份有限公司","预披露更新",4,"",1496937600000,1450972800000,"中信证券股份有限公司","深市主板"
"兰州庄园牧场股份有限公司",4.31,2,,"","华龙证券有限责任公司","华龙证券有限责任公司","兰州庄园牧场股份有限公司","2017-09-11","2016-12-09","兰州庄园牧场股份有限公司","预披露更新",4,"",1505059200000,1481212800000,"华龙证券有限责任公司","深市主板"
"安徽省安泰科技股份有限公司",3.069,1,,"","海通证券股份有限公司","海通证券股份有限公司","安徽省安泰科技股份有限公司","2017-06-16","2017-06-16","安徽省安泰科技股份有限公司","预披露",4,"",1497542400000,1497542400000,"海通证券股份有限公司","深市主板"
"宁波博汇化工科技股份有限公司",6.5,1,,"","浙商证券股份有限公司","浙商证券股份有限公司","宁波博汇化工科技股份有限公司","2017-06-16","2017-06-16","宁波博汇化工科技股份有限公司","预披露",4,"",1497542400000,1497542400000,"浙商证券股份有限公司","深市主板"
"烟台中宠食品股份有限公司",18.36,2,,"","宏信证券有限责任公司","宏信证券有限责任公司","烟台中宠食品股份有限公司","2017-06-16","2016-04-29","烟台中宠食品股份有限公司","预披露更新",4,"",1497542400000,1461859200000,"宏信证券有限责任公司","深市主板"
"苏州瑞可达连接系统股份有限公司",5.22,1,,"","华福证券有限责任公司","华福证券有限责任公司","苏州瑞可达连接系统股份有限公司","2017-06-16","2017-06-16","苏州瑞可达连接系统股份有限公司","预披露",4,"",1497542400000,1497542400000,"华福证券有限责任公司","深市主板"
"乐寿农牧集团股份有限公司",3.464,1,,"","东兴证券股份有限公司","东兴证券股份有限公司","乐寿农牧集团股份有限公司","2017-06-23","2017-06-23","乐寿农牧集团股份有限公司","预披露",4,"",1498147200000,1498147200000,"东兴证券股份有限公司","深市主板"
"北京华远意通热力科技股份有限公司",4.679,2,,"","招商证券股份有限公司","招商证券股份有限公司","北京华远意通热力科技股份有限公司","2017-06-23","2015-11-13","北京华远意通热力科技股份有限公司","预披露更新",4,"",1498147200000,1447344000000,"招商证券股份有限公司","深市主板"
